dataset,split,doc_id,document_type,schema_name,source_file,text,char_count,word_count,sentence_count,entity_count,relation_count,annotation_file_count,label_types,text_sha256,eligible,length_bucket,notes
SciERC,train,J87-1003,abstract,scierc_entity_relation,processed_data/json/train.json,"English is shown to be trans-context-free on the basis of coordinations of the respectively type that involve strictly syntactic cross-serial agreement . The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary . The formal proof , which makes crucial use of the Interchange Lemma of Ogden et al. , is so constructed as to be valid even if English is presumed to contain grammatical sentences in which respectively operates across a pair of coordinate phrases one of whose members has fewer conjuncts than the other ; it thus goes through whatever the facts may be regarding constructions with unequal numbers of conjuncts in the scope of respectively , whereas other arguments have foundered on this problem .",889,145,3,13,3,1,NER:Generic|NER:Material|NER:Method|NER:OtherScientificTerm|REL:CONJUNCTION|REL:FEATURE-OF|REL:HYPONYM-OF,5cf433289ae49c8503067c2cb8914f1e93886d6cda65336a19cc94db33a930ac,1,medium,
SciERC,train,CVPR_2003_18_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed . The basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data . Based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of object intrinsic representation , the obtained non-rigid part of object state reduces even to 2 dimensions . Secondly the dynamical model is derived and trained based on this intrinsic representation . Thirdly the learned intrinsic object structure is integrated into a particle-filter style tracker . We will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable . Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion . The proposed method also has the potential to solve other type of tracking problems .",1182,183,8,25,15,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:CONJUNCTION|REL:FEATURE-OF|REL:HYPONYM-OF|REL:PART-OF|REL:USED-FOR,bd3444f2f40b0cb4ea2fdc7a6e2beb28203b1084b6c3902b88555fa8f8a1e15d,1,long,
SciERC,train,INTERSPEECH_2013_31_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement . As a silent speech interface , we focus on non-audible murmur -LRB- NAM -RRB- , which can be used in situations where audible speech is not acceptable . Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees . However , the sound quality of NAM and electrolaryngeal speech suffers from lack of naturalness . VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources . An implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use . In this paper we further implement real-time VC on a DSP . To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy . We conduct experimental evaluations and show that real-time VC is capable of running on a DSP with little degradation .",1363,219,9,35,20,1,NER:Generic|NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:EVALUATE-FOR|REL:FEATURE-OF|REL:HYPONYM-OF|REL:USED-FOR,7e8caf694068edccd77178fc263666eeee8c6b720bc704f81e0f14e6dd2ca01f,1,long,
SciERC,train,I05-5008,abstract,scierc_entity_relation,processed_data/json/train.json,"We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST . We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets . The paraphrase sets produced by this method thus seem adequate as reference sets to be used for MT evaluation .",729,124,3,17,12,1,NER:Generic|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:COMPARE|REL:CONJUNCTION|REL:HYPONYM-OF|REL:USED-FOR,67527116877d04a9bd00b6cdde263a0dcb5d6833b8492d3350f0f1411970df04,1,medium,
SciERC,train,C92-2068,abstract,scierc_entity_relation,processed_data/json/train.json,Graph unification remains the most expensive part of unification-based grammar parsing . We focus on one speed-up element in the design of unification algorithms : avoidance of copying of unmodified subgraphs . We propose a method of attaining such a design through a method of structure-sharing which avoids log -LRB- d -RRB- overheads often associated with structure-sharing of graphs without any use of costly dependency pointers . The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,667,99,4,17,6,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:CONJUNCTION|REL:FEATURE-OF|REL:PART-OF|REL:USED-FOR,0455a7a10f9b1bca1b568bdc224b8702d1836c8c6d96bc3a141662303c084b79,1,medium,
SciERC,train,A97-1052,abstract,scierc_entity_relation,processed_data/json/train.json,"We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora . Each dictionary entry encodes the relative frequency of occurrence of a comprehensive set of subcategorization classes for English . An initial experiment , on a sample of 14 verbs which exhibit multiple complementation patterns , demonstrates that the technique achieves accuracy comparable to previous approaches , which are all limited to a highly restricted set of subcategorization classes . We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount",657,97,4,8,5,1,NER:Generic|NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|REL:EVALUATE-FOR|REL:USED-FOR,1a768808c53da57ac70eed11b0f32f903617412073a92b6a474ee4459097e6ae,1,short,
SciERC,train,CVPR_2006_21_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"The introduction of prior knowledge has greatly enhanced numerous purely low-level driven image processing algorithms . In this work , we focus on the problem of non-rigid image registration . A number of powerful registration criteria have been developed in the last decade , most prominently the criterion of maximum mutual information . Although this criterion provides for good registration results in many applications , it remains a purely low-level criterion . As a consequence , registration results will deteriorate once this low-level information is corrupted , due to noise , partial occlusions or missing image structure . In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods . The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs . This nonparametric prior accurately models previously learned intensity relations between various image modalities and slice locations . Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .",1346,197,9,29,10,1,NER:Generic|NER:Material|NER:Method|NER:Metric|NER:OtherScientificTerm|NER:Task|REL:FEATURE-OF|REL:HYPONYM-OF|REL:USED-FOR,dec519f5c7b0dbd83f975bdee2c5fcb23aa8b22035aba738759c6ecf9c6648d7,1,long,
SciERC,train,ICCV_2013_36_abs,abstract,scierc_entity_relation,processed_data/json/train.json,"There is an increased interest in the efficient creation of city models , be it virtual or as-built . We present a method for synthesizing complex , photo-realistic facade images , from a single example . After parsing the example image into its semantic components , a tiling for it is generated . Novel tilings can then be created , yielding facade textures with different dimensions or with occluded parts inpainted . A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures . Promising results for multiple standard datasets -- in particular for the different building styles they contain -- demonstrate the potential of the method .",757,127,6,13,6,1,NER:Generic|NER:Method|NER:OtherScientificTerm|NER:Task|REL:EVALUATE-FOR|REL:FEATURE-OF|REL:USED-FOR,6cd242b1734cc1134daa82a827f9d8f263793e0bfda137dd19d58eb4f23ea2dc,1,medium,
SciERC,train,N06-4001,abstract,scierc_entity_relation,processed_data/json/train.json,"We introduce a new interactive corpus exploration tool called InfoMagnets . InfoMagnets aims at making exploratory corpus analysis accessible to researchers who are not experts in text mining . As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- . As an educational tool , it has been used as part of a unit on protocol analysis in an Educational Research Methods course .",624,103,4,12,7,1,NER:Generic|NER:Material|NER:Method|NER:Task|REL:CONJUNCTION|REL:HYPONYM-OF|REL:USED-FOR,309cc6bbf879ba22c83f7b7d0ea82eeee7f51106fdbabf157a25b1327d6af5f8,1,short,
SciERC,train,N03-2003,abstract,scierc_entity_relation,processed_data/json/train.json,"Sources of training data suitable for language modeling of conversational speech are limited . In this paper , we show how training data can be supplemented with text from the web filtered to match the style and/or topic of the target recognition task , but also that it is possible to get bigger performance gains from the data by using class-dependent interpolation of N-grams .",380,65,2,4,2,1,NER:Material|NER:Method|NER:Task|REL:USED-FOR,d94868fa36a8fa467d8e909e7913ae2dfaf20a096b4254984b0edc133b398043,1,short,
