dataset,split,record_id,entity_count,text_sha256
SciERC,test,X96-1059,31,4f96a638b1a46784bebb98bc3d49e60906f8e601ba23badd282cb53001061221
SciERC,test,ICCV_2001_47_abs,24,5b1eed9bf374c761554c9f53ea889623a0eb7cc3cecb6adbc7c22dddba85c1f2
SciERC,test,INTERSPEECH_2013_21_abs,20,80bdf22f9de192e34c44c129ea80a3a5c8c43b339af4f354284165fc6fbfd00f
SciERC,test,H01-1049,11,2678c2d0ecd212434b69fc2d620c296330b33905a9e29ed53f44b93dfe6ab017
SciERC,test,C96-1062,16,e88595352b8a8aae8e37130f51fdaf4ec9cb3bf86ed6f55f509f94b8c36f962c
SciERC,test,CVPR_2009_18_abs,21,ae8b9ca411dac183eca914b3d85d9c89b8b442aceb4dbbb62b0ddc235d8fc982
SciERC,test,P85-1019,21,4a4e300a9535c6f9aee2fd418cb166ff9ffc8181fc39904a1cb56050b605a656
SciERC,test,P05-1039,12,166e14f69d93300f160a7563e366d6abb6c93f3080f66416f27699ab6629e547
SciERC,test,P06-2012,13,5f6f8295c0827b9d9402a6302eb6930e3d51e2a162eca330cd0cdafd9fa88043
SciERC,test,P06-1018,16,1b7add27c15d4a3f4b4bf1b6b41bbadd0768545ab34a1a36c2a0a56131939357
SciERC,test,NIPS_2001_11_abs,17,d671621ebd7db9199d952957cc95811938584a9035b820612df30ae82d8087e5
SciERC,test,CVPR_1999_15_abs,14,0374e0789f161b93ef2332973ea5dbd478391a71e088273a077ab7e826c953a2
SciERC,test,C94-1091,14,b834818874b417073fe1c3db3c178a42bf81ad472c246d4562618c5b2d0a8842
SciERC,test,ICCV_2003_161_abs,20,a7b3c3e7185c8759a43144fbafb47aed5c1d0d41184a8a74184a36fb3951c7ed
SciERC,test,CVPR_2009_10_abs,27,9ed21d18458df399a382a867ec483d5116c4d757d632cd6149ff0b5fe82b8fff
SciERC,test,N03-1026,21,06315f424db48e68e9f337727a08abb0477a22dd0201d5044f95e4926dc52db4
SciERC,test,ICML_2016_11_abs,28,bf1fad00d7bd1f555a88f762aad2e4b4b6f35b70f4a542b60919274d33cb26c9
SciERC,test,C88-1044,7,9f13bfc11bbf009d25d8e9693c472bc53c36d3eadf6bbd536d0251fc4c83339f
SciERC,test,INTERSPEECH_2008_20_abs,6,e423fe01ceb29742b30b48d4823c09a766b3ef1050b203bf2f8671a357b418fb
SciERC,test,ICASSP_2016_11_abs,16,94d93683f2cd56f68e447e0fc5ce58d53b963bf4df4118a27c540752e0aa6023
SciERC,test,N06-1037,13,bb9527afe2352aff0e57bfca50d0638fef2eb8ef002c4a5419da69b9c24db86f
SciERC,test,P05-2013,10,5bdf64536085bff1eb5691e26f930aac2c703f31493e64b5fc45cc6a37b9520b
SciERC,test,C04-1128,12,52587be4ab6a0a6a0a7fcab61535ead53cc0f5f17966cd3ae1fb50a49a96cfda
SciERC,test,CVPR_2006_10_abs,11,f234a3c91fd452a41690d33724043155d5d1a45ab74cb99781d0692551ffb10c
SciERC,test,NIPS_2002_11_abs,11,a624241296c6c61f8c5e54b14c200706ed99e331530387a2601c6670b7b5fb3a
SciERC,test,P06-3007,6,954f1f76fc74f7ffc0b2b3d5c30f14442800b7ece03a97f255b22fa62ed056c0
SciERC,test,ICCV_2013_25_abs,19,547acac57acade0db3d337238925c7c87b3150e73857facc3f6f14edfb062a74
SciERC,test,P05-1076,20,a418ef734bdd20dc2c32a916820839bbb2f5f19f314fde04881e5ecf5d4a7564
SciERC,test,C04-1103,14,faa0f90626b640df6aac50d3133ede7cabbc07847980c5c59b3747da2b2d325b
SciERC,test,NIPS_2002_18_abs,13,001957fb8b866f0f98e49448487b42a5f33c434ec7753aa617a29f82f38c6f81
SciERC,test,C86-1081,5,f4b947ea68041bfbc9466c4d35c21d838f1528c1e3426b4ceb509287ee3a2e72
SciERC,test,P03-1070,16,5cc60f18ced402c1f1ba205c790d96daa593b9b1455dd2b4f767498a3b9cc65e
SciERC,test,P05-1056,24,eb1de659d5291994eda811405d3fcba425c3e6b586042955b3a1d9a1230b07f8
SciERC,test,CVPR_2011_11_abs,19,b365c0b518db3f6df1e9b977205bd979f200d1a25212ba21f23add86ca4362fa
SciERC,test,ICML_2016_10_abs,18,2fc9009f05ad1f8ca462b95765e9e6293a16c1e2aa2945908a1872eec83bc363
SciERC,test,C04-1011,10,8b27e18900db60bd4b79cf59cb01ce2899c4c9b7d127a2d24a59bb19cf93d371
SciERC,test,ECCV_2006_13_abs,34,2f3f7a5dbf5ebb30f59060f32fd7af45cdd9cb3c49c60bdb0ff6884bfc829261
SciERC,test,N04-1022,18,35b90f8fc44e4fd6282a9dd07a5a7028c950b2bc1df177e3a5afe8eb79991b93
SciERC,test,E89-1016,19,09ba14ab432a7dbf1435a02903591e9dc506f6c9d90b3fb25d48f0b3843bf957
SciERC,test,E06-1022,15,e8563b24b07acf777e212507ec320574bfbe504fa910c7d1879c83062807898c
SciERC,test,I05-5004,7,8e5afa6229b36a8de276b1a4db895c13c8493015cd10ac1aaef27329b0c35a40
SciERC,test,H01-1042,17,cadb88ada622e6dfd5cbda0dea66a8fec1ed62e6b195b0a5e9412635fe621446
SciERC,test,C04-1035,19,33ea4a9cc453340e449408efb96dab0027c1f1f7f1c1d62c794c2571a28844ce
SciERC,test,C04-1036,14,6ae1e3ca3861e4a5220de6bd276423f9e3a0a3a8e14287df7b004551bbfba923
SciERC,test,CVPR_2011_10_abs,19,aaaf0152e63d54a1080f91d3263377319b057fa7c10e60b92f2bf0a66e2006dd
SciERC,test,ECCV_2012_30_abs,18,a56794ec5772f90d6585ab8306053b17cee5e5e73f386770c76e794f4f396056
SciERC,test,P08-1105,17,e0661fc749770c75986e385a708178b6469d9d51e6925bd8938d6201dc271953
SciERC,test,ICML_2006_119_abs,18,da8ae286c05f6820d04cf264d432ffaca33d360a61c3a045f4c61c34126f68c7
SciERC,test,P04-2005,20,d50762028a6119faba9a8e1a8e1d71b2f09408045539826de2fddc511b0627b4
SciERC,test,NIPS_2016_560_abs,13,a31c374179111604219a14c0f71e0f4d750711d04b1da9236e2b57f0dcc0f07a
SciERC,test,P06-1053,11,69b91c693b3c9340d1f4c88445e8a55ec8f502d0d5f2758d9c347fe89224e4d3
SciERC,test,CVPR_2016_413_abs,20,dceb384da989afa3416e9a681eefdbc94051076cc3dc9914b98af4a5edc9e500
SciERC,test,ICML_1995_38_abs,15,560fe6ccf3a3b426aec767c1c6d20b412a820b249e9362baa579da85a4e0edf8
SciERC,test,P06-4007,7,b9cdedd0c313b84b9812ec95b6dedf78247b3c212f423513121b631e6e66f250
SciERC,test,E99-1015,8,69e8da00c19f8fbea8d7b499c621fb4b3f0165806a51bbc808dd5b4fd7e92c8b
SciERC,test,CVPR_2004_18_abs,14,d5fd9449aab48ae4c4bb463b9a2e85f0a836a95f39209253ffe02e6475d9f76f
SciERC,test,J86-4002,12,d4f380ad850486ac512cd94c7dd230dd5cbae9b6419e138d7ea2e8d8a06c12d3
SciERC,test,P06-1013,11,6f9ea49457e91aeffa750e487f097b3229d0f7a0e554db2e2f51f212d923ae88
SciERC,test,P05-1046,18,5a03fee7f807d0ef4af861df28349b47828eafc7fe5e2e31a6e4c57f5fcb0d91
SciERC,test,J82-3002,17,84d72ccb5ecabbef4981c9aeb1357afb2ad6a765959288f288a675e26f8f54f3
SciERC,test,ECCV_2016_99_abs,23,87f84bc131a8d4d181f1c8a432a164fa6624641768be66ce06e9d1488be0bb3d
SciERC,test,I05-5003,22,2e249963293b4bc0997eed2c8ba4065d87c6a676cedff0b0ec2e22bc20f24d29
SciERC,test,CVPR_2008_256_abs,31,a91938ee7638c9d6a2b65134d0791efb4ee17f846553380f77d530e17ccbbc81
SciERC,test,P01-1056,17,90bf412817dfacb669d47ae8eafea9ade79de17889b873a1c4ba78dbc4668443
SciERC,test,ICCV_2003_151_abs,35,88c5b9ffbd2cfd6a8259032cba051076c92dc1282dee5110fcc8f4f7af744dc5
SciERC,test,C90-3063,9,74cf70da35f46449a39fe168a264dbcc253198f29e8ace8701b6fe1dea901353
SciERC,test,J05-4003,14,99b43221b46631c486e3a63c917f58d535bf0aee0681aa3a90178f938b2a09c2
SciERC,test,C00-2123,11,cd2b22e8a662708bdc016ba61c7549caae465e7c868e27939e0489bbc4033966
SciERC,test,E91-1012,19,8024304bf5bc6dec994cceec9ebfd8dbc10e4a381e165f438b4630be3ec9cc96
SciERC,test,J86-3001,36,aa7e14e4b3bc006ad93e75b3128c97f8dcc37433b7e2c35a57e42ac43b373279
SciERC,test,P86-1011,6,3a985a008a828c374ce9374c0e31b4396a3ca5e78f5e7cac7eef62e78273a060
SciERC,test,E95-1033,8,07a9db759eb1b1c8179af2569df7f108e3a0354cde664ec1a5f5909c866aa5d0
SciERC,test,W02-1602,26,bbdedc2d12e0ec3035c23f637b676f501a23d01d3fe2c86f4b2cf3641df8f211
SciERC,test,C04-1106,5,d46de9148f8ae5e25c058e59d57cf7b52f4e43c093d0703b64c2a7bf6c3651da
SciERC,test,ECCV_2016_204_abs,31,414dd21aac4c0ca40b3a5fe0eff4c1cbdd6a70ac78cce668af29db503952e011
SciERC,test,INTERSPEECH_2006_21_abs,15,ea1ff26e788858fff8addf176505796a46bb7341ac3ed81cf22c815500135cf6
SciERC,test,NIPS_2015_18_abs,18,a2f5ac5bd03c069e401886d8a224803452220f16054aef768e5171dd22a007ad
SciERC,test,CVPR_1994_10_abs,20,91cc4880d04e28ce6a4510f72794a65d637c5917c5dc0afddca46f7c5d3975ba
SciERC,test,P83-1004,10,a598188f4f3eaa479073b2b7112f3a166f2b0f3d97a323d05a54678e13c83120
SciERC,test,C90-3045,15,493ad333a5b6e7142c43262450dcd58a3ab982a3a0138e0f16b69f70cf995ef6
SciERC,test,CVPR_1993_10_abs,17,b04cbbe40d5fd5c20ba19eb2b8c24887b25ef7b0dbf4555fb41fc7bef66b65b6
SciERC,test,ICML_2016_18_abs,26,5197f9a78488f9d48c2cad66defc7890428ce2f126504c12af6ac69a9ba3bf0e
SciERC,test,I05-4010,8,4e59ed151f286bdcf8a8a2436d42455574bc4f72c8f0fbaa412bb4d400206909
SciERC,test,ICCV_2013_47_abs,28,bdf72bc4424b4c7aff6cb4769acef640164bfdd3236cff4be47a2ef923ae92b8
SciERC,test,H05-1095,13,b923698631ccd9e0cc6912f2e55b8706cfc2ac5878fd143ddd820d48dcbc7642
SciERC,test,A97-1020,17,256af6525a0be4d3073f2dddbd52479131cbf3d246d2c5e557a7d96d9d4a0bed
SciERC,test,N03-1033,12,518da4f1000b3b953a6b81ba439d1b730b5b0647496e23fa4267ebec47574c4b
SciERC,test,ECCV_2016_212_abs,36,71116b3e72296a724ad4930f4afc9576ccba880f15d0ae190a2e1718e7b91a02
SciERC,test,ICASSP_1997_706_abs,25,87d0d830183e94b9a0a2bf537502363ee89e4ed5c91750826da75b1421e46d56
SciERC,test,INTERSPEECH_2008_28_abs,24,c6c8e52ecab2e200685b4d22663516f79f31cbb2985a1fc0dc1bb7949246d447
SciERC,test,ECCV_2016_110_abs,9,e0e0af2cfdb33759335ee37ea36a85404f45d5b8c59ec62ce018c0ee31a1f799
SciERC,test,CVPR_2008_258_abs,15,bf02778e7c98fa047bf2871f1c28803056c55c2244315096c9cb8140b6d29960
SciERC,test,C08-2010,12,d599567a8cf292bfe729e81063e09370c5b28d4dcc30888e7db9414063d697ea
SciERC,test,E93-1066,18,4f773754122c9678b406b181994f7832f5240c8c275ba119a03329a3aed8223e
SciERC,test,INTERSPEECH_2014_40_abs,20,bdc8ae689711f699c36c542d36c430606435fcebf1af6f765d44970a3b9ba7d2
SciERC,test,CVPR_2010_30_abs,19,49295abf182bc2f062d6e950292a56320a1020373331ceb07cc3968fb1f18de1
SciERC,test,CVPR_2004_30_abs,19,939c0f33cb1812ce93bab8bcc6e1881ea83094f66871a0bf038ef3eea6592b70
SciERC,test,INTERSPEECH_2007_40_abs,11,1caa714b1bc3c1d96078b7325a0d8baff0b872a9299feaa37d4d41685fe4dba1
SciERC,test,CVPR_2003_30_abs,14,e607b6002c2bd7b073c8d9d1bbac113906b376e63d49a608a7ae28ee44bf74e5
SciERC,test,NIPS_2016_80_abs,14,583168cce42d805d1f710bc8d27ebc50c6507c86f5110d65189a8096b0ded2ca
EBM-NLP,test,10390665,21,2346e7bf53f5c2a165b7a5751e0837ceb2c043525a42cbdfa17da8237e4be9b6
EBM-NLP,test,10475150,38,dcc465b76a7178e3d89bc43ac8aee592dd32c02ef8bac85ad6bdc445e5b66d62
EBM-NLP,test,10589810,20,b2e81c0fbff113b60f5570bd446cffa609f04cde827352d4a32d18b1efb4fa31
EBM-NLP,test,10752495,21,bbdba5730560f45e9a61e9558d7d651b42f21a11c25ee32c684e8b9ca4c367ab
EBM-NLP,test,10763172,27,ead0bbb1575905ce7cec727bbf8f4ebba2df90256a028e03a2a01b339b6e1e45
EBM-NLP,test,10764172,21,016a952ffe74cfe5a4e0c02d65b225b98b23fd24d3acd36995e10a8face03ed3
EBM-NLP,test,10940525,48,0b35d98bd0c2766935577ef73c2b77956090b1c7c7e708dc04d5a9671c8e3256
EBM-NLP,test,11099086,29,c3a0a5184093d9d41b6d504d208f5636ddba92f00528a744f3c2d9a21fa9f6be
EBM-NLP,test,1131298,15,ca61c32fa9f0f077d6aec765a2ed2747470aad6b739eb9b85f2ca757201fe242
EBM-NLP,test,11317090,29,af0e9f9525b0794cc0f36f81b009159331fe96f7b3baa062087a96665896c6b1
EBM-NLP,test,11401641,33,127f301fc8f9355c81387f21c45ac85ff7bbadfc79661f581e783e24c558e9c4
EBM-NLP,test,11454878,34,3fcd7d41565e1139a07da27db5dc75de01c5b1ae87165f46890d20065bfef465
EBM-NLP,test,11642083,23,1b85f1883dbc6a11b47042961c780fed99220acf48d5ef961250dfa66298ad97
EBM-NLP,test,11737955,21,1e6bb4cc1f1fec7f1316e63782f6cef8c23b373fb7d99b311705b9f69f83eaac
EBM-NLP,test,11891832,17,570dc226ac41b01a5311d6f2022f8ecc4bb1c0887d97b9adf10f63782b5c69d0
EBM-NLP,test,12139812,13,6bc95d28361977a415d06c0bca99004c23b7f1982f11013c9a0b64341614b7a7
EBM-NLP,test,12576806,21,f0fc430abdd126413cba4480d485fd18ad9eb837af450024564b2d32a9fa1deb
EBM-NLP,test,12586799,32,b5fefb5006fefc40b3cae27f6f8e2ef8bec84b0967342305c5285bb04c65fc64
EBM-NLP,test,12595499,23,7cfb25be1ef4288aa4ed33c868b2633205f80f38ced2168e277d2ed533beb489
EBM-NLP,test,12709693,29,c5f0aa45dd5651276a85f0a3a23b50be15f102234fb35fffa498b96e9232b9fe
EBM-NLP,test,12960652,25,4c32b13bd731f7bf3c37e0e86d4ad5abbbda93bbe94fbed31b71f18abdabe66f
EBM-NLP,test,14763035,27,35b5d737859080482eda0491b577b87d72fdf26b91cd76dbfcab25f3d15400a1
EBM-NLP,test,15133359,20,94081f5c9cf382a3585ddef15c0a1ac8be7b2b9720660787f2b96ddca7fe92b0
